beginnerwoodworking active users	date	garageporn active users	somethingimade active users	toolporn active users	woodworking active users	woodworkingplans active users	woodworkingvideos active users	workbenches active users
242	2021-03-10 23:10:41.079089	22	393	70	2825	12	7	135
268	2021-03-10 23:25:43.877270	25	393	72	2825	11	6	135
243	2021-03-10 23:40:45.961766	29	332	74	2821	11	3	76
246	2021-03-10 23:55:47.580238	30	332	74	2802	8	3	76
273	2021-03-11 00:10:49.321328	22	338	103	2802	12	6	76
261	2021-03-11 00:25:51.617849	22	338	103	2297	12	8	94
261	2021-03-11 00:40:53.318308	22	338	99	2625	7	8	73
261	2021-03-11 00:55:54.999585	21	317	99	3434	6	10	87
261	2021-03-11 01:10:56.611314	21	317	78	2830	6	10	69
261	2021-03-11 01:25:58.780869	21	229	78	2603	7	1	75
225	2021-03-11 01:41:00.529350	7	229	78	2603	28	6	75
192	2021-03-11 01:56:02.247042	7	313	78	2789	8	17	59
199	2021-03-11 02:11:03.981170	7	313	78	2789	4	9	61
199	2021-03-11 02:26:06.146621	27	249	84	2789	4	6	68
177	2021-03-11 02:41:07.982520	27	216	51	2789	41	7	68
200	2021-03-11 02:56:09.741524	8	218	51	2035	6	6	62
181	2021-03-11 03:11:11.478834	8	218	51	2035	7	6	63
177	2021-03-11 03:26:13.795996	18	244	55	2035	4	5	56
177	2021-03-11 03:41:15.460612	19	222	48	2025	14	5	51
154	2021-03-11 03:56:17.273179	19	171	48	2386	13	5	72
131	2021-03-11 04:11:19.323015	26	189	80	2323	9	4	72
131	2021-03-11 04:26:21.571774	14	220	77	2363	6	4	72
131	2021-03-11 04:41:23.674335	15	241	79	2564	12	4	62
131	2021-03-11 04:56:25.383534	15	259	75	2557	7	4	62
235	2021-03-11 05:11:27.020491	15	259	100	2669	10	4	101
235	2021-03-11 05:26:29.320266	15	273	99	2743	10	6	124
304	2021-03-11 05:41:31.251627	15	289	98	2687	10	6	109
259	2021-03-11 05:56:32.950965	23	307	85	2687	7	6	109
260	2021-03-11 06:11:34.890483	23	294	85	3540	11	14	123
260	2021-03-11 06:26:37.407061	26	294	85	3394	8	14	114
231	2021-03-11 06:41:39.244149	26	385	109	3394	8	14	114
288	2021-03-11 06:56:40.902800	26	361	109	3394	8	8	107
253	2021-03-11 07:11:42.770499	26	361	102	3394	11	8	107
253	2021-03-11 07:26:45.195821	26	427	97	4337	18	8	115
253	2021-03-11 07:41:46.978983	26	473	97	4117	10	8	115
253	2021-03-11 07:56:48.790513	26	469	97	4117	10	14	133
253	2021-03-11 08:11:50.572694	26	468	97	3758	12	23	133
253	2021-03-11 08:26:52.865427	26	373	71	3758	12	23	136
